codMunicipio,computadoresAlunos,internet,bandaLarga,datashows,televisores,laboratorioInformatica,salasUtilizadas,ano
3509304,9.550000190734863,0.7300000190734863,0.7300000190734863,0.36000001430511475,1.6399999856948853,0.550000011920929,6.909999847412109,2013
3511102,14.109999656677246,0.8399999737739563,0.7699999809265137,2.049999952316284,3.009999990463257,0.6000000238418579,11.180000305175781,2013
3511201,4.860000133514404,0.5699999928474426,0.4300000071525574,0.28999999165534973,2.0,0.28999999165534973,5.710000038146973,2013
3514924,10.5,0.75,0.75,0.5,3.0,0.75,6.25,2013
3514957,3.5999999046325684,0.6000000238418579,0.6000000238418579,0.800000011920929,1.399999976158142,0.20000000298023224,5.400000095367432,2013
3533254,3.3299999237060547,1.0,1.0,1.0,1.6699999570846558,0.6700000166893005,13.0,2013
3535101,13.399999618530273,1.0,1.0,0.6000000238418579,3.0,0.800000011920929,11.0,2013
3535705,10.399999618530273,0.800000011920929,0.800000011920929,0.6000000238418579,2.200000047683716,0.6000000238418579,7.0,2013
3538105,7.5,0.75,0.75,0.17000000178813934,2.0799999237060547,0.5799999833106995,6.670000076293945,2013
3545605,8.199999809265137,0.800000011920929,0.800000011920929,0.20000000298023224,2.2699999809265137,0.4699999988079071,7.0,2013
3551900,1.4700000286102295,0.7599999904632568,0.7599999904632568,0.8799999952316284,1.590000033378601,0.11999999731779099,6.590000152587891,2013
3552601,11.289999961853027,0.7099999785423279,0.7099999785423279,0.5699999928474426,4.139999866485596,0.4300000071525574,7.570000171661377,2013
3504206,6.75,0.75,0.5,0.41999998688697815,2.75,0.33000001311302185,7.579999923706055,2013
3515905,12.329999923706055,0.6700000166893005,0.33000001311302185,1.0,3.0,0.6700000166893005,5.0,2013
3516804,7.25,0.75,0.5,0.5,3.0,0.5,6.5,2013
3516903,6.079999923706055,0.8299999833106995,0.6700000166893005,1.4199999570846558,2.6700000762939453,0.5799999833106995,7.670000076293945,2013
3518909,9.170000076293945,0.5,0.33000001311302185,2.0,2.3299999237060547,0.5,4.829999923706055,2013
3528304,17.75,0.75,0.75,1.25,4.25,0.75,5.5,2013
3532868,9.0,1.0,1.0,1.0,2.3299999237060547,0.6700000166893005,7.329999923706055,2013
3533304,12.25,0.75,0.5,0.75,5.0,0.5,7.5,2013
3549250,8.25,0.5,0.5,0.75,3.75,0.5,5.25,2013
3528106,4.25,0.75,0.5,0.5,2.0,0.5,6.0,2013
3531001,8.75,0.75,0.75,0.5,3.5,0.5,4.0,2013
3531407,15.350000381469727,0.8299999833106995,0.5699999928474426,1.2599999904632568,4.21999979019165,0.38999998569488525,7.570000171661377,2013
3532504,7.829999923706055,0.8299999833106995,0.8299999833106995,0.17000000178813934,1.5,0.33000001311302185,6.829999923706055,2013
3532603,9.359999656677246,0.9300000071525574,0.6399999856948853,0.5,2.0,0.6399999856948853,6.210000038146973,2013
3532702,2.200000047683716,0.800000011920929,0.800000011920929,0.4000000059604645,2.4000000953674316,0.20000000298023224,4.800000190734863,2013
3539905,6.599999904632568,1.0,0.6000000238418579,1.0,3.5999999046325684,0.6000000238418579,8.199999809265137,2013
3551306,6.75,1.0,0.75,0.5,3.25,0.5,7.0,2013
3555703,3.6700000762939453,1.0,0.33000001311302185,0.33000001311302185,1.6699999570846558,0.33000001311302185,5.329999923706055,2013
3521507,6.75,0.75,0.75,0.5,3.0,0.5,10.5,2013
